_id,company_id
00a4ff98-e514-4ba1-ade0-671d003d0492,1057159
00a4ff98-e514-4ba1-ade0-671d003d0492,418095
00a4ff98-e514-4ba1-ade0-671d003d0492,3261616
00a4ff98-e514-4ba1-ade0-671d003d0492,15157024
00a4ff98-e514-4ba1-ade0-671d003d0492,15160645
00a4ff98-e514-4ba1-ade0-671d003d0492,15217117
00a4ff98-e514-4ba1-ade0-671d003d0492,15234656
00a4ff98-e514-4ba1-ade0-671d003d0492,15195020
00a4ff98-e514-4ba1-ade0-671d003d0492,15198074
00a4ff98-e514-4ba1-ade0-671d003d0492,15264604
00a4ff98-e514-4ba1-ade0-671d003d0492,15257810
00a4ff98-e514-4ba1-ade0-671d003d0492,15310421
00a4ff98-e514-4ba1-ade0-671d003d0492,15331815
00a4ff98-e514-4ba1-ade0-671d003d0492,58861965
00a4ff98-e514-4ba1-ade0-671d003d0492,487613
00a4ff98-e514-4ba1-ade0-671d003d0492,51941
00a4ff98-e514-4ba1-ade0-671d003d0492,428312
00a4ff98-e514-4ba1-ade0-671d003d0492,1057159
00a4ff98-e514-4ba1-ade0-671d003d0492,418095
00a4ff98-e514-4ba1-ade0-671d003d0492,3261616
00a4ff98-e514-4ba1-ade0-671d003d0492,15157024
00a4ff98-e514-4ba1-ade0-671d003d0492,15160645
00a4ff98-e514-4ba1-ade0-671d003d0492,15217117
00a4ff98-e514-4ba1-ade0-671d003d0492,15234656
00a4ff98-e514-4ba1-ade0-671d003d0492,15195020
00a4ff98-e514-4ba1-ade0-671d003d0492,15198074
00a4ff98-e514-4ba1-ade0-671d003d0492,15264604
00a4ff98-e514-4ba1-ade0-671d003d0492,15257810
00a4ff98-e514-4ba1-ade0-671d003d0492,15310421
00a4ff98-e514-4ba1-ade0-671d003d0492,15331815
00a75b4b-70ce-451a-ab66-4a5e7eb67eca,3716348
00a75b4b-70ce-451a-ab66-4a5e7eb67eca,3698317
00a75b4b-70ce-451a-ab66-4a5e7eb67eca,15197126
00a75b4b-70ce-451a-ab66-4a5e7eb67eca,15218748
00b96516-6e00-4afe-9199-887f0135b451,13068
00b96516-6e00-4afe-9199-887f0135b451,992981
00b96516-6e00-4afe-9199-887f0135b451,165158
00b96516-6e00-4afe-9199-887f0135b451,8710
00b96516-6e00-4afe-9199-887f0135b451,15252840
00b96516-6e00-4afe-9199-887f0135b451,15263602
00b96516-6e00-4afe-9199-887f0135b451,15303555
00b96516-6e00-4afe-9199-887f0135b451,15309939
00b96516-6e00-4afe-9199-887f0135b451,15299714
00b96516-6e00-4afe-9199-887f0135b451,15352580
00bfaa33-bd6d-415c-805a-dc5e44e25aee,863290
00bfaa33-bd6d-415c-805a-dc5e44e25aee,3653845
00bfaa33-bd6d-415c-805a-dc5e44e25aee,2453129
00bfaa33-bd6d-415c-805a-dc5e44e25aee,3043691
00bfaa33-bd6d-415c-805a-dc5e44e25aee,3076102
00bfaa33-bd6d-415c-805a-dc5e44e25aee,15262140
00bfaa33-bd6d-415c-805a-dc5e44e25aee,15263317
00bfaa33-bd6d-415c-805a-dc5e44e25aee,15264327
00bfaa33-bd6d-415c-805a-dc5e44e25aee,15222971
00c1f7e1-ff80-48d1-979a-c255463f925b,848118
00c1f7e1-ff80-48d1-979a-c255463f925b,472943
00c1f7e1-ff80-48d1-979a-c255463f925b,426253
00c1f7e1-ff80-48d1-979a-c255463f925b,923423
00c1f7e1-ff80-48d1-979a-c255463f925b,2503130
00c1f7e1-ff80-48d1-979a-c255463f925b,251225
00c1f7e1-ff80-48d1-979a-c255463f925b,807257
00c1f7e1-ff80-48d1-979a-c255463f925b,2558311
